vigun.IT97K-499-35.gnm1.Vu01	Vu01
vigun.IT97K-499-35.gnm1.Vu02	Vu02
vigun.IT97K-499-35.gnm1.Vu03	Vu03
vigun.IT97K-499-35.gnm1.Vu04	Vu04
vigun.IT97K-499-35.gnm1.Vu05	Vu05
vigun.IT97K-499-35.gnm1.Vu06	Vu06
vigun.IT97K-499-35.gnm1.Vu07	Vu07
vigun.IT97K-499-35.gnm1.Vu08	Vu08
vigun.IT97K-499-35.gnm1.Vu09	Vu09
vigun.IT97K-499-35.gnm1.Vu10	Vu10
vigun.IT97K-499-35.gnm1.Vu11	Vu11
vigun.IT97K-499-35.gnm1.contig_3	contig_3
vigun.IT97K-499-35.gnm1.contig_5	contig_5
vigun.IT97K-499-35.gnm1.contig_8	contig_8
vigun.IT97K-499-35.gnm1.contig_14	contig_14
vigun.IT97K-499-35.gnm1.contig_20	contig_20
vigun.IT97K-499-35.gnm1.contig_25	contig_25
vigun.IT97K-499-35.gnm1.contig_26	contig_26
vigun.IT97K-499-35.gnm1.contig_27	contig_27
vigun.IT97K-499-35.gnm1.contig_28	contig_28
vigun.IT97K-499-35.gnm1.contig_29	contig_29
vigun.IT97K-499-35.gnm1.contig_30	contig_30
vigun.IT97K-499-35.gnm1.contig_31	contig_31
vigun.IT97K-499-35.gnm1.contig_32	contig_32
vigun.IT97K-499-35.gnm1.contig_33	contig_33
vigun.IT97K-499-35.gnm1.contig_34	contig_34
vigun.IT97K-499-35.gnm1.contig_35	contig_35
vigun.IT97K-499-35.gnm1.contig_36	contig_36
vigun.IT97K-499-35.gnm1.contig_37	contig_37
vigun.IT97K-499-35.gnm1.contig_38	contig_38
vigun.IT97K-499-35.gnm1.contig_39	contig_39
vigun.IT97K-499-35.gnm1.contig_40	contig_40
vigun.IT97K-499-35.gnm1.contig_41	contig_41
vigun.IT97K-499-35.gnm1.contig_42	contig_42
vigun.IT97K-499-35.gnm1.contig_43	contig_43
vigun.IT97K-499-35.gnm1.contig_44	contig_44
vigun.IT97K-499-35.gnm1.contig_45	contig_45
vigun.IT97K-499-35.gnm1.contig_46	contig_46
vigun.IT97K-499-35.gnm1.contig_47	contig_47
vigun.IT97K-499-35.gnm1.contig_48	contig_48
vigun.IT97K-499-35.gnm1.contig_49	contig_49
vigun.IT97K-499-35.gnm1.contig_50	contig_50
vigun.IT97K-499-35.gnm1.contig_51	contig_51
vigun.IT97K-499-35.gnm1.contig_52	contig_52
vigun.IT97K-499-35.gnm1.contig_53	contig_53
vigun.IT97K-499-35.gnm1.contig_54	contig_54
vigun.IT97K-499-35.gnm1.contig_55	contig_55
vigun.IT97K-499-35.gnm1.contig_56	contig_56
vigun.IT97K-499-35.gnm1.contig_57	contig_57
vigun.IT97K-499-35.gnm1.contig_58	contig_58
vigun.IT97K-499-35.gnm1.contig_59	contig_59
vigun.IT97K-499-35.gnm1.contig_60	contig_60
vigun.IT97K-499-35.gnm1.contig_61	contig_61
vigun.IT97K-499-35.gnm1.contig_62	contig_62
vigun.IT97K-499-35.gnm1.contig_63	contig_63
vigun.IT97K-499-35.gnm1.contig_64	contig_64
vigun.IT97K-499-35.gnm1.contig_65	contig_65
vigun.IT97K-499-35.gnm1.contig_66	contig_66
vigun.IT97K-499-35.gnm1.contig_67	contig_67
vigun.IT97K-499-35.gnm1.contig_68	contig_68
vigun.IT97K-499-35.gnm1.contig_69	contig_69
